coxa_deg,femur_deg,tibia_deg,x,y,z
-45.0,-45.0,-45.0,30.8,-133.3,102.88
-45.0,-45.0,-43.0,30.74,-133.24,97.99
-45.0,-45.0,-41.0,30.56,-133.06,93.11
-45.0,-45.0,-39.0,30.26,-132.76,88.24
-45.0,-45.0,-37.0,29.84,-132.34,83.39
-45.0,-45.0,-35.0,29.3,-131.8,78.57
-45.0,-45.0,-33.0,28.64,-131.14,73.77
-45.0,-45.0,-31.0,27.86,-130.36,69.01
-45.0,-45.0,-29.0,26.96,-129.46,64.29
-45.0,-45.0,-27.0,25.95,-128.45,59.61
-45.0,-45.0,-25.0,24.83,-127.33,54.99
-45.0,-45.0,-23.0,23.59,-126.09,50.43
-45.0,-45.0,-21.0,22.24,-124.74,45.93
-45.0,-45.0,-19.0,20.78,-123.28,41.5
-45.0,-45.0,-17.0,19.21,-121.71,37.15
-45.0,-45.0,-15.0,17.54,-120.04,32.88
-45.0,-45.0,-13.0,15.76,-118.26,28.69
-45.0,-45.0,-11.0,13.88,-116.38,24.59
-45.0,-45.0,-9.0,11.89,-114.39,20.59
-45.0,-45.0,-7.0,9.81,-112.31,16.68
-45.0,-45.0,-5.0,7.64,-110.14,12.89
-45.0,-45.0,-3.0,5.37,-107.87,9.2
-45.0,-45.0,-1.0,3.02,-105.52,5.62
-45.0,-45.0,1.0,0.57,-103.07,2.17
-45.0,-45.0,3.0,-1.95,-100.55,-1.16
-45.0,-45.0,5.0,-4.56,-97.94,-4.37
-45.0,-45.0,7.0,-7.25,-95.25,-7.44
-45.0,-45.0,9.0,-10.01,-92.49,-10.39
-45.0,-45.0,11.0,-12.84,-89.66,-13.19
-45.0,-45.0,13.0,-15.74,-86.76,-15.85
-45.0,-45.0,15.0,-18.7,-83.8,-18.37
-45.0,-45.0,17.0,-21.72,-80.78,-20.74
-45.0,-45.0,19.0,-24.8,-77.7,-22.95
-45.0,-45.0,21.0,-27.93,-74.57,-25.02
-45.0,-45.0,23.0,-31.11,-71.39,-26.93
-45.0,-45.0,25.0,-34.34,-68.16,-28.68
-45.0,-45.0,27.0,-37.6,-64.9,-30.27
-45.0,-45.0,29.0,-40.91,-61.59,-31.7
-45.0,-45.0,31.0,-44.25,-58.25,-32.96
-45.0,-45.0,33.0,-47.61,-54.89,-34.06
-45.0,-45.0,35.0,-51.01,-51.49,-35.0
-45.0,-45.0,37.0,-54.42,-48.08,-35.76
-45.0,-45.0,39.0,-57.85,-44.65,-36.36
-45.0,-45.0,41.0,-61.29,-41.21,-36.78
-45.0,-45.0,43.0,-64.74,-37.76,-37.04
-45.0,-45.0,45.0,-68.2,-34.3,-37.12
